Zip Code,State,City,Average Annual Cost,Percent difference from national average
92372,California,Pinon Hills,"$1,903",0%
93428,California,Cambria,"$1,169",-38%
95709,California,Camino,"$1,620",-15%
93270,California,Terra Bella,"$1,463",-23%
93225,California,Frazier Park,"$1,560",-18%
95231,California,French Camp,"$1,406",-26%
95222,California,Angels,"$1,621",-15%
92363,California,Needles,"$1,710",-10%
95470,California,Redwood Valley,"$1,565",-18%
93609,California,Caruthers,"$1,487",-22%
92315,California,Big Bear Lake,"$1,850",-3%
92590,California,Temecula,"$1,691",-11%
90290,California,Topanga,"$2,200",16%
96101,California,Alturas,"$1,619",-15%
92210,California,Indian Wells,"$1,677",-12%
92003,California,Bonsall,"$1,557",-18%
95912,California,Arbuckle,"$1,477",-22%
96088,California,Shingletown,"$1,812",-5%
92278,California,Twentynine Palms,"$1,712",-10%
92823,California,Brea,"$1,623",-15%
95722,California,Meadow Vista,"$1,606",-15%
95446,California,Guerneville,"$1,248",-34%
93272,California,Tipton,"$1,430",-25%
95692,California,Wheatland,"$1,481",-22%
95669,California,Plymouth,"$1,578",-17%
96013,California,Burney,"$1,783",-6%
91708,California,Chino,"$1,587",-16%
92382,California,Running Springs,"$1,887",-1%
93501,California,Mojave,"$1,512",-20%
95685,California,Sutter Creek,"$1,585",-17%
95666,California,Buckhorn,"$1,582",-17%
92121,California,San Diego,"$1,385",-27%
94005,California,Brisbane,"$1,301",-31%
92397,California,Wrightwood,"$1,907",0%
93235,California,Ivanhoe,"$1,394",-27%
96073,California,Palo Cedro,"$1,783",-6%
95627,California,Esparto,"$1,420",-25%
95228,California,Copperopolis,"$1,611",-15%
95633,California,Garden Valley,"$1,602",-16%
95236,California,Linden,"$1,441",-24%
95614,California,Auburn Lake Trails,"$1,585",-17%
92539,California,Anza,"$1,877",-1%
94304,California,Palo Alto,"$1,236",-35%
96064,California,Montague,"$1,747",-8%
95045,California,San Juan Bautista,"$1,356",-29%
95655,California,Mather,"$1,388",-27%
91906,California,Campo,"$1,710",-10%
95004,California,Aromas,"$1,346",-29%
95365,California,Planada,"$1,363",-28%
93202,California,Armona,"$1,449",-24%
93451,California,San Miguel,"$1,216",-36%
95938,California,Durham,"$1,571",-17%
90704,California,Avalon,"$1,646",-13%
96055,California,Los Molinos,"$1,663",-12%
90010,California,Los Angeles,"$1,983",4%
94508,California,Angwin,"$1,344",-29%
93660,California,San Joaquin,"$1,553",-18%
94111,California,San Francisco,"$1,563",-18%
94129,California,San Francisco,"$1,506",-21%
95623,California,El Dorado,"$1,571",-17%
95634,California,Georgetown,"$1,640",-14%
95917,California,Biggs,"$1,574",-17%
95379,California,Tuolumne City,"$1,612",-15%
95247,California,Murphys,"$1,665",-12%
95053,California,Santa Clara,"$1,185",-38%
92661,California,Newport Beach,"$1,585",-17%
95258,California,Woodbridge,"$1,408",-26%
95383,California,Twain Harte,"$1,609",-15%
93953,California,Del Monte Forest,"$1,299",-32%
93675,California,Squaw Valley,"$1,718",-10%
90089,California,Los Angeles,"$1,961",3%
95665,California,Pine Grove,"$1,578",-17%
93523,California,Edwards AFB,"$1,481",-22%
95328,California,Keyes,"$1,335",-30%
94951,California,Penngrove,"$1,210",-36%
95237,California,Lockeford,"$1,413",-26%
93437,California,Vandenberg AFB,"$1,266",-33%
95423,California,Clearlake Oaks,"$1,587",-16%
96122,California,Portola,"$1,745",-8%
95321,California,Pine Mountain Lake,"$1,626",-14%
95546,California,Hoopa,"$1,505",-21%
96093,California,Weaverville,"$1,773",-7%
93242,California,Laton,"$1,496",-21%
92140,California,San Diego,"$1,333",-30%
95562,California,Rio Dell,"$1,415",-25%
94535,California,Travis AFB,"$1,329",-30%
96143,California,Kings Beach,"$1,550",-18%
94038,California,Moss Beach,"$1,280",-33%
96035,California,Gerber,"$1,674",-12%
93602,California,Auberry,"$1,717",-10%
90021,California,Los Angeles,"$2,080",10%
94525,California,Crockett,"$1,347",-29%
93265,California,Springville,"$1,522",-20%
94130,California,San Francisco,"$1,536",-19%
93252,California,Maricopa,"$1,425",-25%
92256,California,Morongo Valley,"$1,851",-3%
95442,California,Glen Ellen,"$1,269",-33%
91330,California,Los Angeles,"$2,034",7%
96114,California,Janesville,"$1,793",-6%
95982,California,Sutter,"$1,476",-22%
95536,California,Ferndale,"$1,413",-26%
96137,California,Westwood,"$1,794",-6%
94599,California,Yountville,"$1,235",-35%
95457,California,Lower Lake,"$1,613",-15%
93643,California,North Fork,"$1,733",-9%
95333,California,Le Grand,"$1,368",-28%
90058,California,Los Angeles,"$2,073",9%
92549,California,Idyllwild-Pine Cove,"$1,883",-1%
94964,California,0,"$1,398",-26%
93921,California,Carmel-by-the-Sea,"$1,292",-32%
93066,California,Somis,"$1,260",-34%
93650,California,Fresno,"$1,437",-24%
96041,California,Hayfork,"$1,777",-6%
92281,California,Westmorland,"$1,704",-10%
95684,California,Somerset,"$1,629",-14%
94037,California,Montara,"$1,281",-33%
94720,California,Berkeley,"$1,401",-26%
95458,California,Lucerne,"$1,617",-15%
95428,California,Covelo,"$1,562",-18%
95485,California,Upper Lake,"$1,586",-16%
95663,California,Penryn,"$1,474",-22%
96032,California,Fort Jones,"$1,701",-10%
95464,California,Nice,"$1,625",-14%
95461,California,Middletown,"$1,632",-14%
92662,California,Newport Beach,"$1,582",-17%
93271,California,Three Rivers,"$1,586",-16%
93430,California,Cayucos,"$1,137",-40%
96145,California,Dollar Point,"$1,534",-19%
91962,California,Pine Valley,"$1,639",-14%
92536,California,Aguanga,"$1,867",-2%
93532,California,Elizabeth Lake,"$2,290",21%
92036,California,Julian,"$1,828",-4%
95918,California,Browns Valley,"$1,680",-12%
95951,California,Hamilton City,"$1,536",-19%
95223,California,Arnold,"$1,643",-13%
95570,California,Trinidad,"$1,446",-24%
90067,California,Los Angeles,"$1,977",4%
95113,California,San Jose,"$1,273",-33%
92275,California,Salton City,"$1,760",-7%
92365,California,Newberry Springs,"$1,798",-5%
93626,California,Friant,"$1,647",-13%
92285,California,Landers,"$1,720",-9%
96020,California,Chester,"$1,692",-11%
93453,California,Santa Margarita,"$1,233",-35%
93516,California,Boron,"$1,480",-22%
93616,California,Del Rey,"$1,527",-20%
92230,California,Cabazon,"$1,804",-5%
95211,California,Stockton,"$1,449",-24%
95329,California,La Grange,"$1,597",-16%
93651,California,Prather,"$1,693",-11%
92004,California,Borrego Springs,"$1,513",-20%
92061,California,Pauma Valley,"$1,595",-16%
96027,California,Etna,"$1,716",-10%
92391,California,Twin Peaks,"$1,895",0%
95542,California,Benbow,"$1,499",-21%
95002,California,Alviso,"$1,237",-35%
96025,California,Dunsmuir,"$1,801",-5%
93283,California,Weldon,"$1,568",-17%
93261,California,Richgrove,"$1,447",-24%
95454,California,Laytonville,"$1,568",-17%
93205,California,Bodfish,"$1,625",-14%
95638,California,Herald,"$1,411",-26%
93667,California,Tollhouse,"$1,685",-11%
95460,California,Mendocino,"$1,442",-24%
94514,California,Byron,"$1,318",-31%
96134,California,Tulelake,"$1,684",-11%
95690,California,Walnut Grove,"$1,347",-29%
92386,California,Sugarloaf,"$1,941",2%
92676,California,Silverado,"$1,753",-8%
94511,California,Bethel Island,"$1,297",-32%
93285,California,Wofford Heights,"$1,631",-14%
95445,California,Gualala,"$1,517",-20%
94020,California,La Honda,"$1,337",-30%
95311,California,Greeley Hill,"$1,652",-13%
92401,California,San Bernardino,"$1,688",-11%
93249,California,Lost Hills,"$1,610",-15%
96113,California,Patton Village,"$1,802",-5%
95465,California,Occidental,"$1,233",-35%
95567,California,Smith River,"$1,443",-24%
92273,California,Seeley,"$1,758",-7%
93040,California,Piru,"$1,380",-27%
90263,California,Malibu,"$2,169",14%
93222,California,Pine Mountain Club,"$1,622",-15%
93925,California,Chualar,"$1,355",-29%
93239,California,Kettleman City,"$1,491",-21%
91916,California,Descanso,"$1,721",-9%
95524,California,Bayside,"$1,393",-27%
95372,California,Soulsbyville,"$1,601",-16%
93562,California,Searles Valley,"$1,662",-12%
95528,California,Carlotta,"$1,471",-23%
93206,California,Buttonwillow,"$1,579",-17%
95975,California,Rough And Ready,"$1,731",-9%
96056,California,McArthur,"$1,761",-7%
92283,California,Winterhaven,"$1,775",-7%
96052,California,Lewiston,"$1,780",-6%
93426,California,Bradley,"$1,383",-27%
95374,California,Stevinson,"$1,337",-30%
95645,California,Knights Landing,"$1,411",-26%
95441,California,Geyserville,"$1,318",-31%
93527,California,Inyokern,"$1,476",-22%
95947,California,Greenville,"$1,781",-6%
96118,California,Loyalton,"$1,731",-9%
91905,California,Boulevard,"$1,740",-8%
95421,California,Cazadero,"$1,258",-34%
95310,California,Columbia,"$1,609",-15%
95245,California,Mokelumne Hill,"$1,648",-13%
92398,California,Yermo,"$1,789",-6%
95942,California,Forest Ranch,"$1,700",-10%
95551,California,Loleta,"$1,377",-27%
95903,California,Beale AFB,"$1,541",-19%
95255,California,West Point,"$1,661",-13%
95977,California,Smartsville,"$1,737",-9%
92059,California,Pala,"$1,642",-14%
95319,California,Empire,"$1,341",-29%
95937,California,Dunnigan,"$1,431",-25%
95560,California,Redway,"$1,488",-22%
93545,California,Lone Pine,"$1,631",-14%
94973,California,Woodacre,"$1,445",-24%
95955,California,Maxwell,"$1,468",-23%
93243,California,Lebec,"$1,725",-9%
93553,California,Pearblossom,"$2,214",17%
95469,California,Potter Valley,"$1,571",-17%
95323,California,Hickman,"$1,347",-29%
92561,California,Mountain Center,"$1,973",4%
95612,California,Clarksburg,"$1,369",-28%
95389,California,Yosemite National Park,"$1,621",-15%
93513,California,Big Pine,"$1,646",-13%
95641,California,Isleton,"$1,352",-29%
95689,California,Volcano,"$1,593",-16%
92282,California,Whitewater,"$1,793",-6%
93461,California,Shandon,"$1,178",-38%
93920,California,Big Sur,"$1,424",-25%
93601,California,Ahwahnee,"$1,704",-10%
95525,California,Blue Lake,"$1,421",-25%
95449,California,Hopland,"$1,587",-16%
95636,California,Grizzly Flats,"$1,660",-13%
92339,California,Forest Falls,"$1,909",1%
95468,California,Point Arena,"$1,512",-20%
93258,California,Poplar-Cotton Center,"$1,388",-27%
93440,California,Los Alamos,"$1,224",-36%
96140,California,Carnelian Bay,"$1,549",-18%
96103,California,Graeagle,"$1,735",-9%
96008,California,Bella Vista,"$1,827",-4%
92091,California,Rancho Santa Fe,"$1,477",-22%
95919,California,Brownsville,"$1,661",-13%
93653,California,Raymond,"$1,700",-10%
92242,California,Big River,"$1,794",-6%
95573,California,Willow Creek,"$1,506",-21%
95664,California,Pilot Hill,"$1,531",-19%
94924,California,Bolinas,"$1,436",-24%
95415,California,Boonville,"$1,547",-19%
92518,California,March ARB,"$1,701",-10%
92086,California,Warner Springs,"$1,739",-8%
93201,California,Alpaugh,"$1,470",-23%
95246,California,Mountain Ranch,"$1,676",-12%
95462,California,Monte Rio,"$1,231",-35%
92257,California,Niland,"$1,711",-10%
96062,California,Millville,"$1,793",-6%
95039,California,Moss Landing,"$1,326",-30%
95916,California,Berry Creek,"$1,690",-11%
93668,California,Tranquillity,"$1,535",-19%
96051,California,Lakehead,"$1,829",-4%
96023,California,Dorris,"$1,710",-10%
94923,California,Bodega Bay,"$1,201",-37%
94957,California,Ross,"$1,425",-25%
94956,California,Point Reyes Station,"$1,452",-24%
94575,California,Moraga,"$1,333",-30%
95968,California,Palermo,"$1,656",-13%
96069,California,Oak Run,"$1,791",-6%
95313,California,Crows Landing,"$1,391",-27%
95346,California,Mi-Wuk Village,"$1,616",-15%
95497,California,Sea Ranch,"$1,265",-33%
95589,California,Whitethorn,"$1,475",-22%
95686,California,Thornton,"$1,399",-26%
96044,California,Hornbrook,"$1,764",-7%
95426,California,Cobb,"$1,641",-14%
95548,California,Klamath,"$1,401",-26%
93432,California,Creston,"$1,249",-34%
94060,California,Pescadero,"$1,347",-29%
96146,California,Olympic Valley,"$1,557",-18%
96057,California,McCloud,"$1,785",-6%
95549,California,Kneeland,"$1,466",-23%
93266,California,Stratford,"$1,476",-22%
93544,California,Llano,"$2,277",20%
95317,California,El Nido,"$1,339",-29%
91008,California,Bradbury,"$1,534",-19%
95701,California,Alta,"$1,625",-14%
92368,California,Oro Grande,"$1,800",-5%
93608,California,Cantua Creek,"$1,531",-19%
96107,California,Walker,"$1,699",-11%
95962,California,Oregon House,"$1,660",-13%
95547,California,Hydesville,"$1,414",-26%
91917,California,Dulzura,"$1,667",-12%
94592,California,Vallejo,"$1,348",-29%
93666,California,Sultana,"$1,503",-21%
95681,California,Sheridan,"$1,390",-27%
95303,California,Ballico,"$1,346",-29%
93928,California,Jolon,"$1,378",-27%
96028,California,Fall River Mills,"$1,771",-7%
95369,California,Snelling,"$1,418",-25%
95410,California,Albion,"$1,482",-22%
94938,California,Lagunitas,"$1,470",-23%
90073,California,0,"$2,240",18%
93424,California,Avilla Beach,"$1,188",-37%
95466,California,Philo,"$1,534",-19%
96047,California,Igo,"$1,766",-7%
93624,California,Five Points,"$1,565",-18%
96142,California,Tahoma,"$1,610",-15%
96120,California,Markleeville,"$1,709",-10%
94937,California,Inverness,"$1,452",-24%
96104,California,Cedarville,"$1,656",-13%
96109,California,Doyle,"$1,745",-8%
95674,California,Rio Oso,"$1,468",-23%
95556,California,Orleans,"$1,472",-22%
95703,California,Applegate,"$1,573",-17%
92321,California,Cedar Glen,"$1,885",-1%
96039,California,Happy Camp,"$1,754",-8%
92070,California,Santa Ysabel,"$1,712",-10%
94933,California,Forest Knolls,"$1,472",-22%
95615,California,Courtland,"$1,349",-29%
94567,California,Pope Valley,"$1,348",-29%
94613,California,Oakland,"$1,481",-22%
93441,California,Los Olivos,"$1,254",-34%
93450,California,San Ardo,"$1,403",-26%
93255,California,Onyx,"$1,569",-17%
95941,California,Forbestown,"$1,684",-11%
95306,California,Catheys Valley,"$1,607",-15%
95459,California,Manchester,"$1,493",-21%
92327,California,Daggett,"$1,815",-4%
93518,California,Caliente,"$1,628",-14%
95017,California,Davenport,"$1,466",-23%
93218,California,Ducor,"$1,512",-20%
96024,California,Douglas City,"$1,803",-5%
96128,California,Standish,"$1,781",-6%
94586,California,Sunol,"$1,379",-27%
93238,California,Kernville,"$1,593",-16%
94528,California,Diablo,"$1,403",-26%
95635,California,Greenwood,"$1,604",-16%
96048,California,Junction City,"$1,824",-4%
91934,California,Jacumba,"$1,689",-11%
95553,California,Miranda,"$1,457",-23%
93606,California,Biola,"$1,485",-22%
93526,California,Independence,"$1,655",-13%
93254,California,New Cuyama,"$1,336",-30%
95659,California,East Nicolaus,"$1,464",-23%
95452,California,Kenwood,"$1,268",-33%
95227,California,Clements,"$1,472",-22%
95943,California,Glenn,"$1,520",-20%
95043,California,Paicines,"$1,443",-24%
94922,California,Bodega,"$1,207",-36%
94946,California,Nicasio,"$1,383",-27%
95957,California,Meridian,"$1,461",-23%
95254,California,Wallace,"$1,633",-14%
96096,California,Whitmore,"$1,827",-4%
96038,California,Grenada,"$1,690",-11%
95345,California,Midpines,"$1,632",-14%
93673,California,Traver,"$1,429",-25%
92358,California,Lytle Creek,"$1,896",0%
95552,California,Mad River,"$1,713",-10%
96087,California,Shasta,"$1,761",-7%
92347,California,Hinkley,"$1,780",-6%
95456,California,Little River,"$1,496",-21%
96148,California,Tahoe Vista,"$1,532",-19%
96091,California,Trinity Center,"$1,785",-6%
95830,California,Sacramento,"$1,418",-25%
95565,California,Scotia,"$1,434",-24%
95230,California,Farmington,"$1,493",-21%
95914,California,Bangor,"$1,708",-10%
94970,California,Stinson Beach,"$1,429",-25%
92135,California,San Diego,"$1,334",-30%
95652,California,McClellan Park,"$1,396",-26%
92309,California,Baker,"$1,733",-9%
95543,California,Gasquet,"$1,502",-21%
93517,California,Bridgeport,"$1,688",-11%
95225,California,Burson,"$1,645",-13%
90742,California,Sunset Beach,"$1,532",-19%
96006,California,Adin,"$1,711",-10%
92305,California,Angelus Oaks,"$1,861",-2%
95387,California,Westley,"$1,390",-27%
95432,California,Elk,"$1,508",-21%
95939,California,Elk Creek,"$1,576",-17%
95960,California,North San Juan,"$1,714",-10%
95563,California,Salyer,"$1,738",-8%
95668,California,Pleasant Grove,"$1,461",-23%
92328,California,Death Valley,"$1,752",-8%
95537,California,Fields Landing,"$1,387",-27%
94021,California,Loma Mar,"$1,348",-29%
95471,California,Rio Nido,"$1,237",-35%
93652,California,Raisin City,"$1,549",-18%
92322,California,Cedarpines Park,"$1,885",-1%
93452,California,San Simeon,"$1,202",-37%
95427,California,Comptche,"$1,543",-19%
95970,California,Princeton,"$1,480",-22%
91931,California,Guatay,"$1,683",-11%
92258,California,North Palm Springs,"$1,792",-6%
96084,California,Round Mountain,"$1,813",-5%
95922,California,Camptonville,"$1,690",-11%
95629,California,Fiddletown,"$1,608",-15%
96058,California,Macdoel,"$1,724",-9%
96090,California,Tehama,"$1,700",-10%
93932,California,Lockwood,"$1,404",-26%
95251,California,Vallecito,"$1,616",-15%
95950,California,Grimes,"$1,478",-22%
95412,California,Annapolis,"$1,306",-31%
96033,California,French Gulch,"$1,806",-5%
95651,California,Lotus,"$1,594",-16%
91963,California,Potrero,"$1,706",-10%
96059,California,Manton,"$1,777",-6%
95564,California,Samoa,"$1,386",-27%
96106,California,Clio,"$1,752",-8%
96141,California,Tahoma,"$1,581",-17%
92060,California,Palomar Mountain,"$1,641",-14%
95714,California,Dutch Flat,"$1,622",-15%
95439,California,Fulton,"$1,231",-35%
93954,California,San Lucas,"$1,382",-27%
94104,California,San Francisco,"$1,567",-17%
95527,California,Burnt Ranch,"$1,779",-6%
95385,California,Vernalis,"$1,479",-22%
95075,California,Tres Pinos,"$1,334",-30%
95585,California,Leggett,"$1,585",-17%
95675,California,River Pines,"$1,600",-16%
95554,California,Myers Flat,"$1,475",-22%
93563,California,Valyermo,"$2,268",19%
96050,California,Klamath River,"$1,757",-7%
93529,California,June Lake,"$1,659",-13%
95558,California,Petrolia,"$1,453",-23%
92333,California,Fawnskin,"$1,868",-2%
95956,California,Meadow Valley,"$1,769",-7%
95979,California,Stonyford,"$1,594",-16%
95007,California,Brookdale,"$1,550",-18%
95555,California,Orick,"$1,441",-24%
95257,California,Wilseyville,"$1,652",-13%
95233,California,Hathaway Pines,"$1,644",-13%
93962,California,Spreckels,"$1,311",-31%
93531,California,Keene,"$1,653",-13%
93664,California,Shaver Lake,"$1,702",-10%
93067,California,Summerland,"$1,373",-28%
96124,California,Calpine,"$1,780",-6%
93604,California,Bass Lake,"$1,699",-11%
96016,California,Cassel,"$1,806",-5%
93224,California,Fellows,"$1,577",-17%
92268,California,Pioneertown,"$1,858",-2%
95444,California,Graton,"$1,234",-35%
96075,California,Paynes Creek,"$1,767",-7%
91210,California,Glendale,"$1,879",-1%
96105,California,Chilcoot,"$1,795",-5%
91759,California,Mt Baldy,"$1,948",3%
92066,California,Ranchita,"$1,758",-7%
96015,California,Canby,"$1,657",-13%
95728,California,Soda Springs,"$1,682",-11%
96034,California,Gazelle,"$1,719",-9%
93244,California,Lemon Cove,"$1,503",-21%
96092,California,Vina,"$1,706",-10%
93669,California,Wishon,"$1,719",-9%
95435,California,Finley,"$1,620",-15%
95639,California,Hood,"$1,365",-28%
94929,California,Dillon Beach,"$1,420",-25%
95983,California,Taylorsville,"$1,760",-7%
95920,California,Butte City,"$1,554",-18%
96117,California,Litchfield,"$1,805",-5%
95606,California,Brooks,"$1,478",-22%
95607,California,Capay,"$1,489",-22%
95984,California,Twain,"$1,754",-8%
96129,California,Beckwourth,"$1,742",-8%
96121,California,Milford,"$1,830",-4%
92134,California,San Diego,"$1,326",-30%
92239,California,Desert Center,"$1,783",-6%
96009,California,Bieber,"$1,731",-9%
93628,California,Hume,"$1,706",-10%
96065,California,Montgomery Creek,"$1,825",-4%
96135,California,Vinton,"$1,832",-4%
95736,California,Weimar,"$1,610",-15%
93549,California,Olancha,"$1,720",-9%
95318,California,El Portal,"$1,593",-16%
93541,California,Lee Vining,"$1,622",-15%
95837,California,Sacramento,"$1,411",-26%
96054,California,Lookout,"$1,738",-8%
95925,California,Challenge,"$1,623",-15%
93641,California,Mira Monte,"$1,729",-9%
96011,California,Big Bend,"$1,826",-4%
95417,California,Branscomb,"$1,562",-18%
90743,California,Surfside,"$1,562",-18%
96063,California,Mineral,"$1,727",-9%
92341,California,Green Valley Lake,"$1,835",-3%
95569,California,Redcrest,"$1,464",-23%
94940,California,Marshall,"$1,467",-23%
93260,California,Posey,"$1,589",-16%
93512,California,Benton,"$1,709",-10%
94569,California,Port Costa,"$1,350",-29%
96086,California,Seiad Valley,"$1,778",-6%
93251,California,Mc Kittrick,"$1,616",-15%
95420,California,Caspar,"$1,463",-23%
92385,California,Skyforest,"$1,848",-3%
94516,California,Canyon,"$1,361",-28%
94972,California,Valley Ford,"$1,223",-36%
95450,California,Jenner,"$1,243",-35%
93645,California,O Neals,"$1,714",-10%
93207,California,California Hot Springs,"$1,511",-20%
92389,California,Tecopa,"$1,817",-4%
95568,California,Somes Bar,"$1,761",-7%
95526,California,Bridgeville,"$1,520",-20%
96112,California,Fort Bidwell,"$1,675",-12%
95312,California,Cressey,"$1,388",-27%
95232,California,Glencoe,"$1,633",-14%
96017,California,Castella,"$1,787",-6%
96076,California,Platina,"$1,785",-6%
96068,California,Nubieber,"$1,796",-5%
94971,California,Tomales,"$1,415",-25%
94963,California,San Geronimo,"$1,467",-23%
95224,California,Avery,"$1,663",-12%
95698,California,Zamora,"$1,404",-26%
95488,California,Westport,"$1,568",-17%
91046,California,Verdugo City,"$2,061",9%
96029,California,Flournoy,"$1,740",-8%
95697,California,Yolo,"$1,386",-27%
96037,California,Greenview,"$1,718",-10%
95443,California,Glenhaven,"$1,584",-17%
95494,California,Yorkville,"$1,530",-19%
94074,California,San Gregorio,"$1,320",-30%
95625,California,Elmira,"$1,321",-30%
94128,California,San Francisco,"$1,349",-29%
95550,California,Korbel,"$1,473",-22%
96115,California,Lake City,"$1,647",-13%
96126,California,Sierraville,"$1,783",-6%
93524,California,Edwards,"$1,506",-21%
92378,California,Rimforest,"$1,950",3%
96014,California,Callahan,"$1,726",-9%
95595,California,Zenia,"$1,758",-7%
93605,California,Big Creek,"$1,676",-12%
96108,California,Davis Creek,"$1,652",-13%
95910,California,Alleghany,"$1,760",-7%
95646,California,Kirkwood,"$1,668",-12%
95978,California,Stirling City,"$1,690",-11%
90071,California,Los Angeles,"$2,128",12%
95717,California,Gold Run,"$1,621",-15%
96116,California,Likely,"$1,682",-11%
93603,California,Badger,"$1,614",-15%
95637,California,Guinda,"$1,510",-20%
95511,California,Alderpoint,"$1,456",-23%
95601,California,Amador City,"$1,594",-16%
96133,California,Topaz,"$1,758",-7%
93627,California,Helm,"$1,559",-18%
93276,California,Tupman,"$1,738",-8%
90822,California,Long Beach,"$1,695",-11%
93042,California,0,"$1,283",-32%
95571,California,Weott,"$1,451",-24%
96046,California,Hyampom,"$1,770",-7%
94576,California,Deer Park,"$1,320",-30%
95986,California,Washington,"$1,723",-9%
92266,California,Palo Verde,"$1,837",-3%
94950,California,Olema,"$1,443",-24%
93621,California,Dunlap,"$1,695",-11%
95930,California,Clipper Mills,"$1,665",-12%
91948,California,Mount Laguna,"$1,699",-11%
95935,California,Dobbins,"$1,664",-12%
96111,California,Floriston,"$1,700",-10%
95545,California,Honeydew,"$1,455",-23%
93208,California,Camp Nelson,"$1,518",-20%
95514,California,Blocksburg,"$1,508",-21%
95463,California,Navarro,"$1,520",-20%
96074,California,Paskenta,"$1,719",-9%
95720,California,Kyburz,"$1,657",-13%
95248,California,Rail Road Flat,"$1,659",-13%
95559,California,Phillipsville,"$1,482",-22%
95715,California,Emigrant Gap,"$1,615",-15%
93554,California,Randsburg,"$1,538",-19%
95493,California,Witter Springs,"$1,584",-17%
95936,California,Downieville,"$1,789",-6%
96031,California,Forks Of Salmon,"$1,743",-8%
96010,California,Big Bar,"$1,793",-6%
92332,California,Essex,"$1,792",-6%
93522,California,Darwin,"$1,834",-3%
92259,California,Ocotillo,"$1,772",-7%
93429,California,Casmalia,"$1,238",-35%
95335,California,Long Barn,"$1,629",-14%
96110,California,Eagleville,"$1,687",-11%
95429,California,Dos Rios,"$1,563",-18%
96125,California,Sierra City,"$1,773",-7%
93226,California,Glennville,"$1,646",-13%
95944,California,Goodyears Bar,"$1,704",-10%
95934,California,Crescent Mills,"$1,766",-7%
93287,California,Woody,"$1,654",-13%
94573,California,Rutherford,"$1,264",-33%
96040,California,Hat Creek,"$1,803",-5%
96085,California,Scott Bar,"$1,738",-8%
95325,California,Hornitos,"$1,562",-18%
95679,California,Rumsey,"$1,497",-21%
95587,California,Piercy,"$1,582",-17%
93623,California,Fish Camp,"$1,606",-15%
95140,California,Mount Hamilton,"$1,295",-32%
96132,California,Termo,"$1,803",-5%
93528,California,Johannesburg,"$1,538",-19%
93220,California,Edison,"$1,500",-21%
93262,California,Sequoia National Park,"$1,548",-18%
96123,California,Ravendale,"$1,788",-6%
95486,California,Villa Grande,"$1,239",-35%
95981,California,Strawberry Valley,"$1,671",-12%
95013,California,Coyote,"$1,285",-32%
95735,California,Twin Bridges,"$1,656",-13%
93634,California,Lakeshore,"$1,646",-13%
95923,California,Canyon Dam,"$1,781",-6%
92267,California,Parker Dam,"$1,840",-3%
96136,California,Wendel,"$1,812",-5%
95724,California,Norden,"$1,657",-13%
96071,California,Old Station,"$1,801",-5%
94512,California,Birds Landing,"$1,320",-30%
92384,California,Shoshone,"$1,743",-8%
91608,California,Universal City,"$1,970",4%
93558,California,Red Mountain,"$1,686",-11%
95430,California,Duncans Mills,"$1,211",-36%
95699,California,Drytown,"$1,682",-11%
96119,California,Madeline,"$1,833",-3%
92304,California,Amboy,"$1,840",-3%
93530,California,Keeler,"$1,748",-8%
92364,California,Nipton,"$1,804",-5%
41007,Kentucky,California,"$1,999",5%
20619,Maryland,California,"$1,623",-15%
65018,Missouri,California,"$2,811",48%
15419,Pennsylvania,California,"$1,173",-38%
15423,Pennsylvania,California,"$1,201",-37%
